threads,runtime
1,9677641471
3,3891160583
5,2325818121
7,1855389667
9,1624406283
11,1625884862
13,1601134466
15,1622010367
17,1610945375
19,1601429513
21,1616742938
23,1693024504
25,1690956871
27,1667775221
29,1667697979
31,1621446900
