threads,runtime
1,346427204
3,125417346
5,90749183
7,80322500
9,74404975
11,72266783
13,70560625
15,68676896
17,73203158
19,76457417
21,79438700
23,70767600
25,82072792
27,66492800
29,64758763
31,68330754
