threads,runtime
1,463884029
3,170239579
5,122409867
7,105496425
9,97628796
11,98821875
13,97193171
15,96005883
17,94245954
19,92075950
21,92785592
23,88957554
25,90037529
27,88583042
29,86709642
31,84246613
