threads,runtime
1,9698447250
3,3905692242
5,2301703875
7,1871783333
9,1622614742
11,1621034446
13,1619865767
15,1611314150
17,1601836583
19,1611879517
21,1594882200
23,1604450550
25,1599680833
27,1639189434
29,1703390058
31,1599981033
