threads,runtime
1,331262717
3,119740504
5,86572575
7,76942350
9,70437237
11,67692954
13,68279533
15,65275117
17,65323959
19,61175738
21,61870863
23,63288229
25,58039863
27,57665371
29,56164613
31,55320258
